"IZ2011_Code","SIMD2020v2_Rank","IMD IZ Deciles"
"S02001236",5059.68018299023,"9"
"S02001237",6219.01905626134,"10 least deprived"
"S02001238",6102.95950473416,"10 least deprived"
"S02001239",2743.86101509914,"4"
"S02001240",6385.47619047619,"10 least deprived"
"S02001241",6580.46193771626,"10 least deprived"
"S02001242",6789.69858585859,"10 least deprived"
"S02001243",5184.37307098765,"9"
"S02001244",3034.26084724005,"5"
"S02001245",6184.13784843206,"10 least deprived"
"S02001246",4712.12803069946,"8"
"S02001247",6793.55891156463,"10 least deprived"
"S02001248",6453.39600062982,"10 least deprived"
"S02001249",4021.52508110806,"7"
"S02001250",2776.96489917849,"4"
"S02001251",5987.10025355959,"10 least deprived"
"S02001252",5695.49290141972,"9"
"S02001253",2717.06253164557,"4"
"S02001254",4073.38127294982,"7"
"S02001255",6309.47293879616,"10 least deprived"
"S02001256",4846.9909630048,"8"
"S02001257",1753.6379751462,"2"
"S02001258",993.255565255347,"1st most deprived"
"S02001259",2925.77130724901,"4"
"S02001260",4076.2023923445,"7"
"S02001261",3071.75172510914,"5"
"S02001262",3115.44539614561,"5"
"S02001263",4164.63173547936,"7"
"S02001264",2557.81094972067,"3"
"S02001265",3762.80760043431,"6"
"S02001266",1814.98024425287,"2"
"S02001267",1307.03783918347,"2"
"S02001268",4449.79405973088,"7"
"S02001269",2211.39688929552,"3"
"S02001270",1932.87470850117,"2"
"S02001271",2250.67175417175,"3"
"S02001272",1903.92268188302,"2"
"S02001273",1827.45326409496,"2"
"S02001274",1522.90467442335,"2"
"S02001275",6171.95432819968,"10 least deprived"
"S02001276",4058.36044776119,"7"
"S02001277",4429.53464970571,"7"
"S02001278",4558.99866945448,"8"
"S02001279",6550.8035450517,"10 least deprived"
"S02001280",5897.75113843352,"10 least deprived"
"S02001281",6101.33142857143,"10 least deprived"
"S02001282",4758.05368942731,"8"
"S02001283",5850.39218632607,"10 least deprived"
"S02001284",5398.25847457627,"9"
"S02001285",4981.48273615635,"8"
"S02001286",5183.10460093897,"9"
"S02001287",5058.5623698218,"8"
"S02001288",4140.48663888208,"7"
"S02001289",4859.38025246412,"8"
"S02001290",5517.50477924442,"9"
"S02001291",4859.19575825826,"8"
"S02001292",5693.9022755336,"9"
"S02001293",5616.08282828283,"9"
"S02001294",6398.3120633442,"10 least deprived"
"S02001295",5341.76203435959,"9"
"S02001296",5274.40661707126,"9"
"S02001297",5665.95006090134,"9"
"S02001298",6139.74642738451,"10 least deprived"
"S02001299",5797.89166472099,"9"
"S02001300",4787.6829328102,"8"
"S02001301",5470.46235692407,"9"
"S02001302",4609.44907146877,"8"
"S02001303",4866.5987202925,"8"
"S02001304",3637.90427126265,"6"
"S02001305",5820.50919088767,"10 least deprived"
"S02001306",5837.74920154648,"10 least deprived"
"S02001307",5553.46005267779,"9"
"S02001308",6178.84314891929,"10 least deprived"
"S02001309",6657.67489711934,"10 least deprived"
"S02001310",6012.51675485009,"10 least deprived"
