"MSOA11CD","WIMD 2019","IMD MSOA Deciles"
"W02000001",811.154351585014,"4"
"W02000002",1296.07183952729,"8"
"W02000003",399.674141489961,"2"
"W02000004",1203.04054425509,"7"
"W02000005",1274.36409533873,"8"
"W02000006",1034.27339370418,"6"
"W02000007",996.414553472988,"6"
"W02000008",1583.35489009239,"10 least deprived"
"W02000009",1010.61847592569,"6"
"W02000010",1077.17774465971,"6"
"W02000011",1065.98361053782,"6"
"W02000012",982.030582123037,"6"
"W02000013",1547.92465047829,"9"
"W02000014",1080.42487548423,"7"
"W02000015",747.0775,"4"
"W02000016",995.279783393502,"6"
"W02000017",918.783485540335,"5"
"W02000018",799.385872917952,"4"
"W02000019",1245.59954363948,"8"
"W02000020",1183.83175423485,"7"
"W02000021",1229.46905420022,"8"
"W02000022",1256.68326558266,"8"
"W02000023",1158.31832852047,"7"
"W02000024",1043.75050505051,"6"
"W02000025",1054.37102473498,"6"
"W02000026",1062.09624444744,"6"
"W02000027",648.915252332247,"3"
"W02000028",984.747631839389,"6"
"W02000029",1770.00480384307,"10 least deprived"
"W02000030",1299.03448275862,"8"
"W02000031",535.854998212796,"3"
"W02000032",1565.79131886477,"9"
"W02000033",540.148685695856,"3"
"W02000034",1263.96634678586,"8"
"W02000035",974.773269966385,"6"
"W02000036",1000.74568725654,"6"
"W02000037",1024.86253776435,"6"
"W02000038",1391.30739957717,"9"
"W02000039",1046.12396589029,"6"
"W02000040",1067.06667626728,"6"
"W02000041",1104.443387471,"7"
"W02000042",755.913698630137,"4"
"W02000043",809.38957580369,"4"
"W02000044",1160.68872643324,"7"
"W02000045",246.196764643688,"1st most deprived"
"W02000047",227.76225177628,"1st most deprived"
"W02000049",1059.76456161864,"6"
"W02000050",1197.20783273522,"7"
"W02000051",1228.84566278633,"8"
"W02000052",454.872674418605,"2"
"W02000053",1544.65019127774,"9"
"W02000054",1441.54627207325,"9"
"W02000055",1435.01153241307,"9"
"W02000056",1099.87272036474,"7"
"W02000057",1041.36999053329,"6"
"W02000058",658.900513225424,"3"
"W02000059",936.546758291007,"5"
"W02000060",655.414887743835,"3"
"W02000061",434.222590861107,"2"
"W02000062",1537.92865159532,"9"
"W02000063",1398.6652275811,"9"
"W02000064",598.776588738887,"3"
"W02000065",1467.49422632794,"9"
"W02000066",562.491406558672,"3"
"W02000067",1685.623039807,"10 least deprived"
"W02000068",836.885092609243,"5"
"W02000069",1686.21539416511,"10 least deprived"
"W02000070",1768.70894698085,"10 least deprived"
"W02000071",1723.19838619922,"10 least deprived"
"W02000072",1270.67070895522,"8"
"W02000073",1190.01194118228,"7"
"W02000074",1204.42938303598,"7"
"W02000075",1794.61885379355,"10 least deprived"
"W02000076",1383.16030534351,"9"
"W02000077",1447.51255060729,"9"
"W02000080",1109.81658849667,"7"
"W02000081",805.585292142377,"4"
"W02000082",824.378104993598,"4"
"W02000083",1102.45120226308,"7"
"W02000084",1757.46404145078,"10 least deprived"
"W02000085",1359.93175705961,"8"
"W02000086",830.193322981366,"5"
"W02000087",128.8682084146,"1st most deprived"
"W02000088",923.941506899499,"5"
"W02000089",502.427505452876,"2"
"W02000090",837.251135172896,"5"
"W02000091",1333.11048904989,"8"
"W02000092",599.269362186788,"3"
"W02000093",1201.37885860563,"7"
"W02000094",735.9382131324,"4"
"W02000095",1428.38936716508,"9"
"W02000096",952.114583333333,"5"
"W02000097",1093.83636561717,"7"
"W02000098",1443.55385616661,"9"
"W02000099",826.196233746824,"4"
"W02000100",1079.88220230474,"7"
"W02000101",1407.2987229317,"9"
"W02000102",1197.87954729184,"7"
"W02000103",1258.51014595942,"8"
"W02000104",1052.88400449222,"6"
"W02000105",394.580619696073,"2"
"W02000106",1386.36617128849,"9"
"W02000107",1228.51730193162,"8"
"W02000108",1095.52138180805,"7"
"W02000109",653.412913727618,"3"
"W02000110",1198.28586201802,"7"
"W02000111",1417.2893829509,"9"
"W02000113",1217.72526165557,"8"
"W02000114",1483.07722063037,"9"
"W02000116",1355.07511800405,"8"
"W02000117",1274.64260249554,"8"
"W02000118",1071.25909481524,"6"
"W02000120",1017.61971235195,"6"
"W02000122",1024.96308724832,"6"
"W02000123",909.613868525418,"5"
"W02000124",814.997628190648,"4"
"W02000125",919.487179487179,"5"
"W02000126",1057.9619238477,"6"
"W02000127",1010.90810047412,"6"
"W02000128",1200.74783521385,"7"
"W02000129",1247.54398311049,"8"
"W02000130",709.714085100407,"4"
"W02000131",1000.51096026022,"6"
"W02000132",1294.69822222222,"8"
"W02000133",1191.4021831413,"7"
"W02000134",1259.03620013834,"8"
"W02000135",617.430676855895,"3"
"W02000136",1165.14429450758,"7"
"W02000137",534.11712184874,"2"
"W02000138",445.865219638243,"2"
"W02000139",1336.2049395691,"8"
"W02000140",518.562293729373,"2"
"W02000141",1190.70130718954,"7"
"W02000142",909.88430335097,"5"
"W02000143",874.146162123386,"5"
"W02000144",805.648616756261,"4"
"W02000145",1006.05232150372,"6"
"W02000146",1167.32464204974,"7"
"W02000147",1221.37162320883,"8"
"W02000148",874.621804802479,"5"
"W02000149",1018.17275541796,"6"
"W02000151",652.325354969574,"3"
"W02000152",903.911567877629,"5"
"W02000153",977.965724078835,"6"
"W02000154",812.791870337021,"4"
"W02000156",1104.98082613327,"7"
"W02000157",1072.72596858639,"6"
"W02000158",1383.92687017779,"9"
"W02000159",594.528031290743,"3"
"W02000160",1392.05814562598,"9"
"W02000161",655.622883621458,"3"
"W02000162",942.823354362576,"5"
"W02000163",707.318332718554,"4"
"W02000164",883.122618399565,"5"
"W02000165",617.589865871833,"3"
"W02000166",693.380514086878,"4"
"W02000167",238.456695156695,"1st most deprived"
"W02000168",1030.83162341581,"6"
"W02000169",827.279919294892,"4"
"W02000170",1239.21168625678,"8"
"W02000171",1584.10951929908,"10 least deprived"
"W02000172",922.113705972435,"5"
"W02000173",1275.91631434966,"8"
"W02000174",1426.47875920084,"9"
"W02000175",525.936173018594,"2"
"W02000176",814.33732688503,"4"
"W02000177",965.736152641321,"5"
"W02000178",127.907123345241,"1st most deprived"
"W02000179",1497.61868460389,"9"
"W02000180",370.175866949752,"1st most deprived"
"W02000181",499.3507733692,"2"
"W02000182",713.028509883426,"4"
"W02000183",276.267591772463,"1st most deprived"
"W02000184",785.178487811596,"4"
"W02000185",1533.89337005705,"9"
"W02000186",80.9303602811951,"1st most deprived"
"W02000187",1661.10714285714,"10 least deprived"
"W02000188",544.21213634661,"3"
"W02000189",1287.55014785609,"8"
"W02000190",1862.41718266254,"10 least deprived"
"W02000191",1322.37926179222,"8"
"W02000192",527.579118925326,"2"
"W02000193",1037.38441940225,"6"
"W02000194",1786.16950464396,"10 least deprived"
"W02000195",1870.5544452102,"10 least deprived"
"W02000196",1182.68869644485,"7"
"W02000197",1688.90099937539,"10 least deprived"
"W02000198",1806.62705691934,"10 least deprived"
"W02000200",771.592400690846,"4"
"W02000201",628.47033501778,"3"
"W02000202",989.544342256528,"6"
"W02000203",749.443578049139,"4"
"W02000204",1579.11343065693,"9"
"W02000205",804.136456908345,"4"
"W02000206",380.210032747842,"1st most deprived"
"W02000207",1422.67820206842,"9"
"W02000208",930.689538807649,"5"
"W02000209",227.093158098183,"1st most deprived"
"W02000210",596.164678899083,"3"
"W02000211",293.233316670832,"1st most deprived"
"W02000212",827.299847211612,"4"
"W02000213",1299.48565055762,"8"
"W02000214",311.236751964538,"1st most deprived"
"W02000215",335.537272168749,"1st most deprived"
"W02000216",588.205232803489,"3"
"W02000217",806.268568033274,"4"
"W02000218",228.067467124071,"1st most deprived"
"W02000219",525.884793253536,"2"
"W02000220",532.344564682735,"2"
"W02000221",408.413233779609,"2"
"W02000222",850.184893267652,"5"
"W02000223",1042.60349045833,"6"
"W02000224",699.987977805179,"4"
"W02000225",738.174546244973,"4"
"W02000226",1283.64159594186,"8"
"W02000227",679.414200398142,"3"
"W02000228",1380.03416340811,"8"
"W02000229",887.285280970626,"5"
"W02000230",1685.07622504537,"10 least deprived"
"W02000231",500.97825311943,"2"
"W02000232",1541.52603722042,"9"
"W02000233",1067.87761572606,"6"
"W02000234",1542.89397810219,"9"
"W02000235",1411.27788385937,"9"
"W02000236",1076.61955123624,"6"
"W02000237",1629.3842364532,"10 least deprived"
"W02000238",1747.39200505609,"10 least deprived"
"W02000239",1601.14431006047,"10 least deprived"
"W02000240",1380.41442362294,"9"
"W02000241",1664.45034181542,"10 least deprived"
"W02000242",1539.98742842918,"9"
"W02000243",416.887064071371,"2"
"W02000244",1641.91733486063,"10 least deprived"
"W02000245",930.12056980057,"5"
"W02000246",1794.13368306802,"10 least deprived"
"W02000247",1529.617871775,"9"
"W02000248",489.966284074605,"2"
"W02000249",776.86651460845,"4"
"W02000250",1458.07042013948,"9"
"W02000251",958.32047103354,"5"
"W02000252",471.090889487871,"2"
"W02000253",710.368889537429,"4"
"W02000254",913.002464332036,"5"
"W02000255",717.350956623339,"4"
"W02000256",418.315403665181,"2"
"W02000257",479.444520360754,"2"
"W02000258",290.197488388096,"1st most deprived"
"W02000259",270.738970588235,"1st most deprived"
"W02000260",311.212765957447,"1st most deprived"
"W02000261",689.625722729025,"3"
"W02000262",676.601820250284,"3"
"W02000263",625.105812685055,"3"
"W02000264",248.00983884648,"1st most deprived"
"W02000265",372.673206889034,"1st most deprived"
"W02000266",561.689840977789,"3"
"W02000267",483.006724744001,"2"
"W02000268",685.835307017544,"3"
"W02000269",468.153846153846,"2"
"W02000270",830.238533471872,"5"
"W02000271",403.110122164049,"2"
"W02000272",856.305894308943,"5"
"W02000273",513.26820568711,"2"
"W02000274",740.475951113739,"4"
"W02000275",781.068276436303,"4"
"W02000276",1087.20238843495,"7"
"W02000277",990.419154228856,"6"
"W02000278",1794.19177194687,"10 least deprived"
"W02000279",1104.81959274894,"7"
"W02000280",1362.18065356639,"8"
"W02000281",1345.22024659312,"8"
"W02000282",1507.14813249958,"9"
"W02000284",618.033998752339,"3"
"W02000285",1164.19459148446,"7"
"W02000286",284.229109736804,"1st most deprived"
"W02000287",922.693314467634,"5"
"W02000288",507.612237330037,"2"
"W02000289",838.088259016016,"5"
"W02000290",244.924906132666,"1st most deprived"
"W02000291",369.923443024205,"1st most deprived"
"W02000292",330.981342062193,"1st most deprived"
"W02000293",435.223671340072,"2"
"W02000294",905.399577167019,"5"
"W02000295",1166.47880479735,"7"
"W02000296",485.649838187702,"2"
"W02000297",771.331224462897,"4"
"W02000298",1148.77099863201,"7"
"W02000299",856.495043556624,"5"
"W02000300",856.710355987055,"5"
"W02000301",652.247044025157,"3"
"W02000302",1128.78551424433,"7"
"W02000303",954.074762494837,"5"
"W02000304",875.116481639624,"5"
"W02000305",899.141261601384,"5"
"W02000306",795.777329490874,"4"
"W02000307",503.033532584925,"2"
"W02000308",769.158416921064,"4"
"W02000309",961.544261338778,"5"
"W02000310",1079.60396590067,"7"
"W02000311",661.614657685734,"3"
"W02000312",973.356338587892,"6"
"W02000313",1529.76650609238,"9"
"W02000314",682.212489403786,"3"
"W02000315",569.762587284087,"3"
"W02000316",498.258,"2"
"W02000317",641.496779180624,"3"
"W02000318",381.866843501326,"1st most deprived"
"W02000319",642.615079841518,"3"
"W02000320",553.724065420561,"3"
"W02000321",470.867976597859,"2"
"W02000322",337.205298951544,"1st most deprived"
"W02000323",548.517580872011,"3"
"W02000324",558.911812516933,"3"
"W02000325",271.761330506228,"1st most deprived"
"W02000326",545.738166500388,"3"
"W02000327",1434.22211004543,"9"
"W02000328",1356.4068801898,"8"
"W02000329",774.751891891892,"4"
"W02000330",1234.32540228304,"8"
"W02000331",287.997162485066,"1st most deprived"
"W02000332",393.811246612466,"2"
"W02000333",1097.02229150429,"7"
"W02000334",1363.30042665882,"8"
"W02000335",1359.61869107044,"8"
"W02000336",1256.19578059072,"8"
"W02000337",702.702642007926,"4"
"W02000338",1306.26103804603,"8"
"W02000339",1169.13229712633,"7"
"W02000340",1173.24568429775,"7"
"W02000341",1493.51405575644,"9"
"W02000342",1584.08573767137,"10 least deprived"
"W02000343",1030.74634146341,"6"
"W02000344",1569.73796285342,"9"
"W02000345",1007.14526031434,"6"
